frame,time,team,players,centroid_x,centroid_y
923,461.5,B,19,39.029,38.524
924,462.0,B,24,40.173,40.147
925,462.5,B,25,40.282,40.651
929,464.5,B,23,37.091,42.457
930,465.0,B,19,39.291,42.235
931,465.5,B,22,40.501,43.974
932,466.0,B,17,40.372,43.777
933,466.5,B,19,41.733,45.055
934,467.0,B,28,34.743,46.358
937,468.5,B,18,37.586,45.115
938,469.0,B,22,36.907,43.878
939,469.5,B,20,36.474,45.378
940,470.0,B,19,43.046,44.404
941,470.5,B,22,37.065,48.239
942,471.0,B,20,33.337,45.346
943,471.5,B,23,30.985,45.739
944,472.0,B,19,33.625,45.759
945,472.5,B,15,30.188,45.714
946,473.0,B,17,33.671,46.371
947,473.5,B,22,36.196,48.152
948,474.0,B,19,31.834,49.049
949,474.5,B,20,35.565,48.561
950,475.0,B,19,36.922,48.267
951,475.5,B,15,33.496,47.399
952,476.0,B,14,36.1,49.474
953,476.5,B,14,34.304,48.341
958,479.0,B,18,32.248,48.44
959,479.5,B,13,32.698,47.711
960,480.0,B,14,31.468,47.056
961,480.5,B,18,31.475,48.14
962,481.0,B,15,33.237,47.738
963,481.5,B,10,32.304,46.277
964,482.0,B,13,30.328,47.093
965,482.5,B,12,27.926,46.241
966,483.0,B,13,26.692,45.634
967,483.5,B,13,28.334,46.116
968,484.0,B,11,27.461,45.589
969,484.5,B,12,26.03,45.804
970,485.0,B,13,22.442,45.458
971,485.5,B,13,26.449,45.456
972,486.0,B,12,23.241,44.68
973,486.5,B,11,25.158,44.475
974,487.0,B,11,24.569,44.223
975,487.5,B,13,21.097,44.909
976,488.0,B,15,21.821,45.19
977,488.5,B,12,23.526,44.886
978,489.0,B,17,23.093,45.359
979,489.5,B,12,21.069,43.638
980,490.0,B,13,21.964,44.043
981,490.5,B,9,23.781,42.886
982,491.0,B,12,20.776,44.31
983,491.5,B,16,21.662,44.74
984,492.0,B,14,21.763,43.765
985,492.5,B,10,25.526,42.924
986,493.0,B,12,27.434,44.216
987,493.5,B,13,23.303,43.242
988,494.0,B,13,24.011,44.072
989,494.5,B,13,22.23,43.907
990,495.0,B,15,25.746,44.528
991,495.5,B,13,23.57,44.45
992,496.0,B,14,23.496,45.151
993,496.5,B,16,23.993,45.432
994,497.0,B,14,25.422,45.18
995,497.5,B,14,24.016,44.804
996,498.0,B,17,27.173,45.59
997,498.5,B,16,23.984,44.814
998,499.0,B,18,25.556,45.573
999,499.5,B,18,22.03,45.145
1000,500.0,B,19,23.542,44.748
1001,500.5,B,14,27.807,44.602
1002,501.0,B,19,26.644,44.7
1003,501.5,B,16,29.753,45.095
1004,502.0,B,22,24.709,44.812
1005,502.5,B,16,30.066,43.98
1006,503.0,B,15,30.955,43.423
1007,503.5,B,18,28.346,45.048
1008,504.0,B,21,33.13,44.486
1009,504.5,B,30,30.705,45.075
1010,505.0,B,23,33.141,46.295
1011,505.5,B,26,37.859,46.967
1015,507.5,B,24,34.606,45.934
1016,508.0,B,19,40.275,46.72
1017,508.5,B,20,34.971,46.258
1018,509.0,B,16,36.249,47.588
1019,509.5,B,15,42.576,47.771
1020,510.0,B,18,40.047,47.195
1021,510.5,B,17,37.843,47.289
1022,511.0,B,20,36.328,48.07
1023,511.5,B,19,36.196,47.991
1025,512.5,B,19,39.692,49.31
1028,514.0,B,21,41.036,49.632
1029,514.5,B,18,44.88,49.377
1030,515.0,B,18,45.586,49.006
1031,515.5,B,15,42.246,48.712
1032,516.0,B,16,46.301,51.011
1034,517.0,B,16,43.244,50.715
1035,517.5,B,21,41.779,52.21
1038,519.0,B,17,38.874,52.615
1039,519.5,B,15,37.823,51.056
1040,520.0,B,18,41.17,51.86
1041,520.5,B,16,38.71,50.341
1044,522.0,B,17,41.581,47.594
1046,523.0,B,18,43.628,47.004
1048,524.0,B,17,43.9,46.232
1050,525.0,B,18,45.012,45.363
1051,525.5,B,19,46.151,44.913
1052,526.0,B,17,49.603,43.369
1053,526.5,B,18,50.028,41.651
1054,527.0,B,20,49.51,41.791
1055,527.5,B,19,49.39,40.983
1057,528.5,B,19,48.978,41.741
1059,529.5,B,16,47.744,37.985
1060,530.0,B,22,51.791,36.97
1061,530.5,B,23,44.309,36.923
1062,531.0,B,19,48.39,38.023
1063,531.5,B,17,43.791,35.766
