player_id,team,samples,distance_m,max_speed_mps
383,B,23,61.31,39.38
384,B,22,56.43,8.5
385,B,2,4.01,8.03
386,B,1,0.0,0.0
396,B,2,1.41,0.94
397,B,15,56.54,11.65
398,B,11,10.16,2.27
399,B,14,22.84,13.88
400,B,13,31.51,4.6
401,B,8,5.18,2.37
402,B,13,20.6,9.91
403,B,8,26.19,8.13
404,B,5,6.92,9.55
405,B,5,1.83,1.1
406,B,5,0.34,0.33
407,B,55,157.23,19.16
408,B,53,33.12,5.89
409,B,5,15.76,12.01
410,B,9,8.39,2.56
411,B,1,0.0,0.0
412,B,94,383.02,77.03
413,B,49,165.29,21.08
414,B,9,20.07,10.16
415,B,5,6.92,4.28
416,B,4,1.39,1.46
417,B,1,0.0,0.0
418,B,1,0.0,0.0
419,B,6,43.11,19.07
420,B,39,148.89,37.08
421,B,3,16.89,13.18
422,B,43,166.76,42.16
423,B,47,107.07,21.35
424,B,2,9.12,9.12
425,B,3,14.1,9.94
426,B,93,416.57,49.65
427,B,3,7.88,9.68
428,B,17,37.56,30.87
429,B,43,153.79,45.57
430,B,35,139.21,31.08
431,B,128,275.98,18.74
432,B,76,211.72,34.08
433,B,11,19.3,4.73
434,B,3,5.11,4.34
435,B,1,0.0,0.0
436,B,92,291.97,28.64
437,B,16,64.72,24.77
438,B,51,212.54,38.12
439,B,13,80.53,10.13
440,B,40,130.91,16.12
441,B,4,4.58,4.17
442,B,15,52.53,8.15
443,B,6,23.48,14.13
444,B,19,89.96,40.94
445,B,1,0.0,0.0
446,B,2,0.27,0.54
447,B,14,26.37,5.66
448,B,61,232.27,47.12
449,B,45,121.34,19.31
450,B,171,430.77,41.47
451,B,172,74.64,3.21
452,B,1,0.0,0.0
453,B,1,0.0,0.0
454,B,9,38.7,13.39
455,B,61,179.15,36.44
456,B,90,305.74,45.48
457,B,157,561.55,40.65
458,B,56,137.5,21.84
459,B,263,744.27,55.17
460,B,51,175.04,21.29
461,B,51,158.9,34.88
462,B,200,551.56,26.18
463,B,13,106.16,33.13
464,B,2,0.35,0.7
465,B,45,119.35,16.56
466,B,17,36.77,7.96
467,B,28,54.02,8.65
468,B,47,91.1,27.66
469,B,17,4.91,1.08
470,B,19,28.06,4.88
471,B,98,223.32,19.67
472,B,5,12.44,4.75
473,B,4,2.64,1.17
474,B,8,6.41,3.73
475,B,1,0.0,0.0
476,B,79,169.68,22.58
477,B,15,23.06,14.66
478,B,2,29.57,8.45
479,B,1,0.0,0.0
480,B,17,55.57,39.08
481,B,77,183.98,45.36
482,B,68,218.81,66.51
483,B,69,157.65,25.8
484,B,92,306.94,21.52
485,B,118,366.94,30.81
486,B,14,36.13,7.61
487,B,9,19.65,7.49
488,B,13,88.75,52.41
518,B,1,0.0,0.0
519,B,196,476.49,36.92
520,B,75,235.28,49.29
521,B,37,119.56,17.03
522,B,76,334.76,78.36
523,B,64,203.18,32.08
