frame,time,team,player,screen_x,screen_y,pitch_x,pitch_y,in_pitch,track_id
267,11.129,黒,黒3,1460.7,767.2,92.0,38.323,1,1
268,11.17,黒,黒3,1460.4,767.2,91.965,38.334,1,1
269,11.212,黒,黒3,1459.7,767.4,91.887,38.398,1,1
270,11.254,黒,黒3,1459.1,767.5,91.819,38.434,1,1
271,11.295,黒,黒3,1458.7,767.5,91.785,38.441,1,1
272,11.337,黒,黒3,1458.4,767.6,91.757,38.462,1,1
273,11.379,黒,黒3,1458.3,767.6,91.748,38.46,1,1
274,11.42,黒,黒3,1457.9,767.5,91.724,38.444,1,1
275,11.462,黒,黒3,1457.7,767.5,91.714,38.437,1,1
276,11.504,黒,黒3,1457.6,767.6,91.691,38.464,1,1
277,11.545,黒,黒3,1457.2,767.7,91.652,38.482,1,1
278,11.587,黒,黒3,1456.8,767.6,91.632,38.457,1,1
279,11.629,黒,黒3,1456.3,767.5,91.607,38.424,1,1
280,11.67,黒,黒3,1455.7,767.3,91.586,38.356,1,1
281,11.712,黒,黒3,1455.3,767.5,91.518,38.436,1,1
282,11.754,黒,黒3,1454.9,767.6,91.479,38.462,1,1
283,11.795,黒,黒3,1454.6,768.3,91.352,38.694,1,1
284,11.837,黒,黒3,1454.1,768.9,91.239,38.873,1,1
285,11.879,黒,黒3,1453.6,768.8,91.206,38.853,1,1
286,11.92,黒,黒3,1452.9,768.2,91.236,38.662,1,1
287,11.962,黒,黒3,1452.2,768.1,91.193,38.626,1,1
288,12.004,黒,黒3,1451.4,768.1,91.128,38.642,1,1
289,12.045,黒,黒3,1450.9,768.5,91.029,38.774,1,1
290,12.087,黒,黒3,1450.3,768.9,90.928,38.897,1,1
291,12.129,黒,黒3,1449.8,769.2,90.863,38.971,1,1
292,12.171,黒,黒3,1449.5,769.1,90.84,38.963,1,1
293,12.212,黒,黒3,1449.2,769.1,90.817,38.962,1,1
294,12.254,黒,黒3,1448.7,769.1,90.776,38.962,1,1
295,12.296,黒,黒3,1447.8,769.1,90.715,38.942,1,1
296,12.337,黒,黒3,1447.1,769.1,90.657,38.955,1,1
297,12.379,黒,黒3,1446.3,769.2,90.575,38.989,1,1
298,12.421,黒,黒3,1445.4,769.4,90.487,39.044,1,1
299,12.462,黒,黒3,1444.7,769.5,90.41,39.095,1,1
300,12.504,黒,黒3,1444.0,769.3,90.391,39.015,1,1
301,12.546,黒,黒3,1443.3,769.2,90.337,39.006,1,1
302,12.587,黒,黒3,1442.3,769.1,90.276,38.97,1,1
303,12.629,黒,黒3,1441.0,769.2,90.158,39.004,1,1
304,12.671,黒,黒3,1440.2,769.3,90.082,39.025,1,1
305,12.712,黒,黒3,1439.6,769.5,90.012,39.092,1,1
306,12.754,黒,黒3,1439.3,769.7,89.965,39.146,1,1
307,12.796,黒,黒3,1439.2,769.8,89.939,39.192,1,1
308,12.837,黒,黒3,1439.2,769.9,89.924,39.23,1,1
309,12.879,黒,黒3,1439.2,770.0,89.913,39.253,1,1
310,12.921,黒,黒3,1439.1,770.0,89.904,39.255,1,1
311,12.962,黒,黒3,1438.6,769.9,89.885,39.209,1,1
312,13.004,黒,黒3,1437.9,769.7,89.855,39.145,1,1
313,13.046,黒,黒3,1437.1,769.5,89.815,39.099,1,1
314,13.087,黒,黒3,1436.4,769.5,89.757,39.104,1,1
315,13.129,黒,黒3,1435.5,769.8,89.653,39.185,1,1
316,13.171,黒,黒3,1434.8,770.1,89.552,39.296,1,1
317,13.213,黒,黒3,1434.3,770.4,89.474,39.389,1,1
318,13.254,黒,黒3,1433.3,770.6,89.364,39.458,1,1
319,13.296,黒,黒3,1432.5,770.5,89.311,39.433,1,1
320,13.338,黒,黒3,1431.6,770.7,89.224,39.483,1,1
321,13.379,黒,黒3,1431.0,770.8,89.164,39.517,1,1
322,13.421,黒,黒3,1430.6,770.8,89.132,39.526,1,1
323,13.463,黒,黒3,1430.4,770.8,89.11,39.528,1,1
324,13.504,黒,黒3,1430.1,770.8,89.088,39.523,1,1
325,13.546,黒,黒3,1429.7,770.8,89.064,39.509,1,1
326,13.588,黒,黒3,1429.2,771.1,88.985,39.609,1,1
327,13.629,黒,黒3,1428.7,771.3,88.928,39.664,1,1
328,13.671,黒,黒3,1428.4,771.3,88.895,39.679,1,1
329,13.713,黒,黒3,1428.2,771.3,88.88,39.675,1,1
330,13.754,黒,黒3,1428.1,771.3,88.873,39.67,1,1
331,13.796,黒,黒3,1427.7,771.3,88.845,39.674,1,1
332,13.838,黒,黒3,1426.9,771.4,88.764,39.706,1,1
333,13.879,黒,黒3,1426.3,771.3,88.733,39.682,1,1
334,13.921,黒,黒3,1425.5,771.2,88.684,39.644,1,1
335,13.963,黒,黒3,1424.9,770.9,88.677,39.542,1,1
336,14.004,黒,黒3,1424.0,771.0,88.587,39.585,1,1
337,14.046,黒,黒3,1423.3,771.0,88.531,39.593,1,1
338,14.088,黒,黒3,1422.5,771.2,88.443,39.669,1,1
339,14.129,黒,黒3,1421.7,771.2,88.385,39.648,1,1
340,14.171,黒,黒3,1421.2,771.2,88.336,39.671,1,1
341,14.213,黒,黒3,1421.0,771.3,88.323,39.674,1,1
342,14.255,黒,黒3,1420.7,771.5,88.275,39.74,1,1
343,14.296,黒,黒3,1420.3,771.5,88.229,39.766,1,1
344,14.338,黒,黒3,1419.4,771.2,88.205,39.654,1,1
345,14.38,黒,黒3,1418.3,770.9,88.155,39.554,1,1
